Points_0,Points_1,vel_0
-0.0454257,0.0267833,46.216
-0.0484638,0.0287163,46.5523
0.039375,-0.0123,-9.08164
0.038125,-0.0117017,-7.53297
0.036875,-0.011305,-7.31261
0.035625,-0.0109083,-7.00752
0.034375,-0.0105117,-6.63388
0.033125,-0.010115,-6.20253
0.031875,-0.00971833,-5.72314
0.030625,-0.00932167,-5.2051
0.029375,-0.008925,-4.65771
0.028125,-0.00852833,-4.09015
0.026875,-0.00813167,-3.51143
0.025625,-0.007735,-2.9305
0.024375,-0.00733833,-2.35638
0.023125,-0.00694167,-1.79844
0.021875,-0.006545,-1.26621
0.020625,-0.00614833,-0.768768
0.019375,-0.00575167,-0.313574
0.018125,-0.005355,0.094575
0.016875,-0.00495833,0.453924
0.015625,-0.00456167,0.765593
0.014375,-0.004165,1.03427
0.013125,-0.00376833,1.2695
0.011875,-0.00337167,1.48149
0.010625,-0.002975,1.66423
0.009375,-0.00257833,1.78002
0.008125,-0.00218167,1.78995
0.006875,-0.001785,1.74531
0.005625,-0.00138833,1.81798
0.004375,-0.000991667,2.08503
0.003125,-0.000595,1.98653
0.001875,-0.000198333,5.40531
0.000625,0.0005,27.3579
-0.00100003,0.0015238,33.9457
-0.00302294,0.00259581,35.4917
-0.00509208,0.00371717,36.9319
-0.0072085,0.00488893,38.1142
-0.00937328,0.006112,39.1008
-0.0115875,0.00738718,39.9632
-0.0138524,0.00871511,40.7285
-0.016169,0.0100963,41.419
-0.0185385,0.0115309,42.0521
-0.0209622,0.0130191,42.638
-0.0234413,0.0145607,43.1845
-0.025977,0.0161554,43.6976
-0.0285706,0.0178025,44.1809
-0.0312236,0.0195011,44.6374
-0.0339371,0.0212501,45.0688
-0.0367127,0.023048,45.4763
-0.0395516,0.024893,45.8602
-0.0424555,0.0267833,46.2204
-0.0454257,0.0287163,46.5553
-0.0484638,0.0306897,46.8638
0.040625,-0.0123,-8.85828
0.039375,-0.0117017,-7.31303
0.038125,-0.011305,-7.12779
0.036875,-0.0109083,-6.85502
0.035625,-0.0105117,-6.5107
0.034375,-0.010115,-6.10524
0.033125,-0.00971833,-5.64796
0.031875,-0.00932167,-5.14796
0.030625,-0.008925,-4.61436
0.029375,-0.00852833,-4.05627
0.028125,-0.00813167,-3.48261
0.026875,-0.007735,-2.90208
0.025625,-0.00733833,-2.32331
0.024375,-0.00694167,-1.75517
0.023125,-0.006545,-1.20701
0.021875,-0.00614833,-0.688456
0.020625,-0.00575167,-0.208434
0.019375,-0.005355,0.226219
0.018125,-0.00495833,0.611891
0.016875,-0.00456167,0.94835
0.015625,-0.004165,1.23853
0.014375,-0.00376833,1.48987
0.013125,-0.00337167,1.71625
0.011875,-0.002975,1.9314
0.010625,-0.00257833,2.12713
0.009375,-0.00218167,2.26136
0.008125,-0.001785,2.31373
0.006875,-0.00138833,2.38144
0.005625,-0.000991667,2.61634
0.004375,-0.000595,3.1179
0.003125,-0.000198333,4.84143
0.001875,0.0005,27.8639
0.000625,0.0015238,34.0691
